submission_id,"To ensure you understood the assignment, please click on which of the following statements is true.",preference,Which out of these topics do you care about the most?,statement,only_ingroup_norm_show,let_go_norm_show
2729,Participants chose which action they preferred.,3,Political Orientation,4,False,True
2730,Participants chose which action they preferred.,2,Vaccine against Covid-19,5,False,False
2731,Participants chose which action they preferred.,2,Vaccine against Covid-19,4,False,True
2732,Participants chose which action they preferred.,2,Vaccine against Covid-19,4,True,False
2733,Participants chose which action they preferred.,3,Abortion,-5,False,False
2734,Participants chose which action they preferred.,3,Vaccine against Covid-19,5,True,False
2735,Participants chose which action they preferred.,2,Vaccine against Covid-19,5,True,False
2737,Participants chose which action they preferred.,2,Political Orientation,3,False,False
2738,Participants chose which action they preferred.,1,Political Orientation,5,True,True
2739,Participants chose which action they preferred.,-2,Political Orientation,-5,True,True
2740,Participants chose which action they preferred.,1,Vaccine against Covid-19,5,True,True
2741,Participants chose which action they preferred.,3,Vaccine against Covid-19,5,False,True
2742,Participants chose which action they preferred.,3,Vaccine against Covid-19,5,False,True
2746,Participants chose which action they preferred.,3,Vaccine against Covid-19,5,False,True
2747,Participants chose which action they preferred.,3,Vaccine against Covid-19,3,True,True
2748,Participants chose which action they preferred.,1,Vaccine against Covid-19,4,False,False
2752,Participants chose which action they preferred.,2,Vaccine against Covid-19,5,True,True
2755,Participants chose which action they preferred.,2,Animal Products,-1,False,True
2759,Participants chose which action they preferred.,1,Vaccine against Covid-19,4,False,True
2760,Participants chose which action they preferred.,2,Political Orientation,3,False,False
2761,Participants chose which action they preferred.,3,Abortion,-5,True,True
2762,Participants chose which action they preferred.,3,Protesting,-5,True,True
2764,Participants chose which action they preferred.,2,Animal Products,5,False,False
2765,Participants chose which action they preferred.,-3,Political Orientation,2,False,False
2767,Participants chose which action they preferred.,3,Abortion,-5,False,True
2768,Participants chose which action they preferred.,-3,Political Orientation,-3,True,True
2772,Participants chose which action they preferred.,3,Political Orientation,5,False,False
2774,Participants chose which action they preferred.,2,Political Orientation,4,True,False
2779,Participants chose which action they preferred.,3,Animal Products,2,False,True
2780,Participants chose which action they preferred.,1,Abortion,-5,False,False
2784,Participants chose which action they preferred.,2,Political Orientation,3,False,False
2786,Participants chose which action they preferred.,-1,Animal Products,3,False,False
